分类,订单号,内部单号,客户,数量,单位,生命周期,终止类型,终止原因,终止时间,审批人,负责人,链接
"A-需确认(已完成却标取消)","QM-20260403-015","1022836订单","AP","1800","件","completed","取消","客户修改样衣，重新提交。","2026-07-06","Alex","王海莲","https://order.qimoactivewear.com/orders/7c0bf24b-44f1-4d85-b13f-2b11984cdd80"
"B-已取消(有原因有审批,抽查即可)","QM-20260406-007","525","rag","37440","件","cancelled","取消","客人取消订单","2026-04-28","Alex","Winnie","https://order.qimoactivewear.com/orders/88590563-c67f-4571-bc65-4d33746425fa"
"B-已取消(有原因有审批,抽查即可)","QM-20260516-012","1022869","EHL","900","件","cancelled","取消","订单转给其他业务","2026-07-14","Alex","Vivi","https://order.qimoactivewear.com/orders/c0d607d1-875d-4fb2-baa7-0ca666bdab59"
"B-已取消(有原因有审批,抽查即可)","QM-20260516-013","1022870","EHL","900","件","cancelled","取消","其他","2026-07-14","Alex","Vivi","https://order.qimoactivewear.com/orders/dd8707c0-ea59-48bd-9074-d37ff0f1099f"
"B-已取消(有原因有审批,抽查即可)","QM-20260516-015","1022871","EHL","1440","件","cancelled","取消","订单转给其他业务","2026-07-14","Alex","Vivi","https://order.qimoactivewear.com/orders/b6d9776c-59b2-4ebe-8f1a-052411960b25"
"B-已取消(有原因有审批,抽查即可)","QM-20260516-016","1022872","EHL","1440","件","cancelled","取消","订单转给其他业务","2026-07-14","Alex","Vivi","https://order.qimoactivewear.com/orders/19f9b520-2110-4026-bf0f-1c9425fa20a0"
"B-已取消(有原因有审批,抽查即可)","QM-20260518-022","RK5.10.26","USA","45465","件","cancelled","取消","其他","2026-07-14","Alex","Winnie","https://order.qimoactivewear.com/orders/b58557f1-702c-401e-9bec-d1adc152c9f1"
"B-已取消(有原因有审批,抽查即可)","QM-20260518-023","BLACK PUSH","USA","39000","件","cancelled","取消","其他","2026-07-14","Alex","Winnie","https://order.qimoactivewear.com/orders/a6f1162d-08fd-44bc-9462-95696dee54b6"
"B-已取消(有原因有审批,抽查即可)","QM-20260518-024","RK6.10.26","USA","17577","件","cancelled","取消","其他","2026-07-06","Alex","Winnie","https://order.qimoactivewear.com/orders/14d838ef-0ae2-49d1-b87b-15ca0c5724d0"
"B-已取消(有原因有审批,抽查即可)","QM-20260601-001","1022919","EHL","816","件","cancelled","取消","客人PO未发，先取消，等客人PO发来后上系统","2026-07-14","Alex","May","https://order.qimoactivewear.com/orders/b09a0c8f-1861-481f-ac9c-0b8c0d51f34d"
"B-已取消(有原因有审批,抽查即可)","QM-20260710-017","1022965","rag","57600","套","cancelled","取消","无法生成生产任务单 需要重新上传操作","2026-07-11","","Winnie","https://order.qimoactivewear.com/orders/792d25e3-ea84-4fd4-a573-6889d778260a"
"C-已完成(无需确认)","QM-20260402-001","510B","rag","13152","套","completed","","","2026-04-09","","欧璐","https://order.qimoactivewear.com/orders/700bc75a-2126-4171-a5c5-001008ae6e73"
"C-已完成(无需确认)","QM-20260402-002","511","rag","30288","套","completed","","","2026-04-09","","欧璐","https://order.qimoactivewear.com/orders/da653504-4e95-4816-b68d-cb3f357fad29"
"C-已完成(无需确认)","QM-20260402-003","511B","rag","19728","套","completed","","","2026-05-15","","欧璐","https://order.qimoactivewear.com/orders/92d4d73d-8e49-4989-ba3a-f872e329890d"
"C-已完成(无需确认)","QM-20260402-008","503B","rag","9600","件","completed","","","2026-05-15","","欧璐","https://order.qimoactivewear.com/orders/07d3b025-ea0e-4ed1-b2d1-f879e1a0dd7c"
"C-已完成(无需确认)","QM-20260403-002","533","rag","22032","件","completed","","","2026-04-28","","Winnie","https://order.qimoactivewear.com/orders/9a37f697-774e-4e1d-9c4d-c0b542e952fa"
"C-已完成(无需确认)","QM-20260403-003","533B","rag","28704","套","completed","","","2026-04-28","","Winnie","https://order.qimoactivewear.com/orders/c14e1ff6-7d50-4354-88e0-441793b15e69"
"C-已完成(无需确认)","QM-20260403-004","534","rag","28560","件","completed","","","2026-05-15","","Winnie","https://order.qimoactivewear.com/orders/d629349b-0002-4e63-b140-18d8f7ed2212"
"C-已完成(无需确认)","QM-20260403-005","1022839","EHL","1368","件","completed","","","2026-05-15","","Vivi","https://order.qimoactivewear.com/orders/28681f85-8340-4eb4-8eb3-5fe0ccc4cec2"
"C-已完成(无需确认)","QM-20260403-006","1022839","EHL","1368","件","completed","","","2026-05-18","","Vivi","https://order.qimoactivewear.com/orders/d6564f9c-019c-4809-86a5-cb76c1441e17"
"C-已完成(无需确认)","QM-20260403-007","1022839","EHL","300","件","completed","","","2026-05-18","","Vivi","https://order.qimoactivewear.com/orders/908ca6c3-4d2b-490b-8fc8-feeda4af3d40"
"C-已完成(无需确认)","QM-20260403-010","1022826","年年旺","3000","套","completed","","","2026-04-21","","陈陈","https://order.qimoactivewear.com/orders/4a36d0bf-15ab-4593-b855-50fcc18f0a40"
"C-已完成(无需确认)","QM-20260403-011","1022832","年年旺","14400","套","completed","","","2026-05-29","","陈陈","https://order.qimoactivewear.com/orders/3739b5cd-2b76-4791-8a57-637bab1c6b81"
"C-已完成(无需确认)","QM-20260403-012","1022833","年年旺","13560","套","completed","","","2026-05-15","","陈陈","https://order.qimoactivewear.com/orders/cbc957c0-9bce-4ff2-ae15-cca1d48b4c73"
"C-已完成(无需确认)","QM-20260403-014","503","rag","10992","件","completed","","","2026-05-15","","欧璐","https://order.qimoactivewear.com/orders/58d39bfc-6439-4967-b25a-113f63214aa9"
"C-已完成(无需确认)","QM-20260403-016","518","rag","1440","件","completed","","","2026-05-15","","欧璐","https://order.qimoactivewear.com/orders/d9c5489d-1f15-48dd-85d1-53709deaaab8"
"C-已完成(无需确认)","QM-20260403-017","PO3301978-1","S2","36000","件","completed","","","2026-04-16","","欧璐","https://order.qimoactivewear.com/orders/1e1b1934-2e96-479c-9152-26fbc2b5db64"
"C-已完成(无需确认)","QM-20260403-019","1022831","伊彤","6600","件","completed","","","2026-05-15","","王海莲","https://order.qimoactivewear.com/orders/25d176f4-576d-41ec-b831-81d7760cdf3e"
"C-已完成(无需确认)","QM-20260403-020","1022763","宁波巴拿马","5024","件","completed","","","2026-04-15","","欧璐","https://order.qimoactivewear.com/orders/2328bfe6-f177-4569-857c-65b57f101fe7"
