优先级,建单月份,订单号,内部单号,客户,负责人,数量(件),单位,出厂日期,状态,链接
"P1-近期单","2026-07","QM-20260709-011","588","rag","Winnie","10553","件","2026-08-16","active","https://order.qimoactivewear.com/orders/a32e8771-90d2-4e4c-8a1f-8b09913dfc16"
"P1-近期单","2026-07","QM-20260709-009","545B","rag","Winnie","45120","套","2026-07-21","completed","https://order.qimoactivewear.com/orders/7b457eb9-f4f0-48b8-b062-59c2b8556943"
"P1-近期单","2026-07","QM-20260709-008","584","rag","Winnie","37872","件","2026-07-30","active","https://order.qimoactivewear.com/orders/dffbd6bb-5c2c-46db-a689-cee28c1b5f04"
"P1-近期单","2026-07","QM-20260709-007","582","rag","Winnie","41472","件","2026-08-02","active","https://order.qimoactivewear.com/orders/b27e05a6-021a-40e1-abc9-472e9df39fcb"
"P1-近期单","2026-07","QM-20260709-004","581","rag","Winnie","47902","件","2026-07-31","active","https://order.qimoactivewear.com/orders/d6204029-41ba-45b8-a542-3fb8c873a851"
"P1-近期单","2026-07","QM-20260709-003","580","rag","Winnie","38880","件","2026-08-15","active","https://order.qimoactivewear.com/orders/1c8b40a9-f0bf-4ef9-b66b-cdb7463744c5"
"P1-近期单","2026-07","QM-20260709-002","583B","rag","Winnie","8640","件","2026-07-13","completed","https://order.qimoactivewear.com/orders/76a39442-0836-49ff-a0f6-c671a686c309"
"P1-近期单","2026-07","QM-20260709-001","583","rag","Winnie","24384","件","2026-07-13","completed","https://order.qimoactivewear.com/orders/57d64c58-8e7c-4ac8-9030-a629fd416a7d"
"P1-近期单","2026-07","QM-20260703-019","1022960","浙江新悦进出口有限公司","灵珑","1000","件","2026-08-04","active","https://order.qimoactivewear.com/orders/21390c9c-1d84-48b1-b594-738fdc0d71d0"
"P1-近期单","2026-07","QM-20260703-018","1022959","浙江新悦进出口有限公司","灵珑","500","件","2026-08-04","active","https://order.qimoactivewear.com/orders/6f63ca01-87c6-4f49-918b-ac24512da75e"
"P1-近期单","2026-07","QM-20260703-013","1022956","浙江新悦进出口有限公司","灵珑","350","件","2026-08-08","active","https://order.qimoactivewear.com/orders/6a35dd96-ab1d-42f2-ab20-b10366450eb0"
"P2-历史单(功能上线前)","2026-06","QM-20260623-002","1022948","巴拿马","小英","7488","件","2026-08-10","active","https://order.qimoactivewear.com/orders/b395554b-198c-4429-b688-a21b16b71417"
